PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
93436,20180815,TSLA,TESLA INC,338.69000,-0.025745,15
93436,20180816,TSLA,TESLA INC,335.45001,-0.009566,15
93436,20180817,TSLA,TESLA INC,305.50000,-0.089283,15
93436,20180820,TSLA,TESLA INC,308.44000,0.009624,15
93436,20180821,TSLA,TESLA INC,321.89999,0.043639,15
93436,20180822,TSLA,TESLA INC,321.64001,-0.000808,15
93436,20180823,TSLA,TESLA INC,320.10001,-0.004788,15
93436,20180824,TSLA,TESLA INC,322.82001,0.008497,15
93436,20180827,TSLA,TESLA INC,319.26999,-0.010997,15
93436,20180828,TSLA,TESLA INC,311.85999,-0.023209,15
93436,20180829,TSLA,TESLA INC,305.01001,-0.021965,15
93436,20180830,TSLA,TESLA INC,303.14999,-0.006098,15
93436,20180831,TSLA,TESLA INC,301.66000,-0.004915,15
93436,20180904,TSLA,TESLA INC,288.95001,-0.042133,15
93436,20180905,TSLA,TESLA INC,280.73999,-0.028413,15
93436,20180906,TSLA,TESLA INC,280.95001,0.000748,15
93436,20180907,TSLA,TESLA INC,263.23999,-0.063036,15
93436,20180910,TSLA,TESLA INC,285.50000,0.084562,15
93436,20180911,TSLA,TESLA INC,279.44000,-0.021226,15
93436,20180912,TSLA,TESLA INC,290.54001,0.039722,15
93436,20180913,TSLA,TESLA INC,289.45999,-0.003717,15
93436,20180914,TSLA,TESLA INC,295.20001,0.019830,15
93436,20180917,TSLA,TESLA INC,294.84000,-0.001220,15
93436,20180918,TSLA,TESLA INC,284.95999,-0.033510,15
93436,20180919,TSLA,TESLA INC,299.01999,0.049340,15
93436,20180920,TSLA,TESLA INC,298.32999,-0.002308,15
93436,20180921,TSLA,TESLA INC,299.10001,0.002581,15
93436,20180924,TSLA,TESLA INC,299.67999,0.001939,15
93436,20180925,TSLA,TESLA INC,300.98999,0.004371,15
93436,20180926,TSLA,TESLA INC,309.57999,0.028539,15
93436,20180927,TSLA,TESLA INC,307.51999,-0.006654,15
93436,20180928,TSLA,TESLA INC,264.76999,-0.139015,15
